Ticker,ROE (Return on Equity),ROA (Return on Assets),P/E Ratio (PER),Debt/Equity Ratio,Current Ratio,Quick Ratio,Revenue Growth (YoY),Earnings Growth (YoY),EPS Growth (Next 5 Years),σ (std),MDD,6개월 수익률,20일 이동평균선,60일 이동평균선,이평괴리율(20일),RSI(14),MACD,Signal
A,0.19881001,0.08354,34.19626,56.421,2.248,1.542,0.101,0.216,0.191,0.0198199974263193,-0.3479624472627756,0.2732867157745544,144.7120002746582,133.1366439819336,0.0113881387346281,52.13302126559741,3.119605398250428,3.607794720352028
AMD,0.05317,0.025980001,127.072914,6.366,2.308,1.176,0.356,0.603,0.612,0.0371500951692389,-0.4568373074464137,1.1694824623311364,244.76399841308597,195.27149963378903,-0.0032030964138105,52.73865377340879,12.174842199155194,16.3263616951318
MMM,0.72920996,0.07971,26.784344,281.904,1.842,1.027,0.035,-0.375,-0.392,0.0186789877640024,-0.1871454335701886,0.1229249090622024,162.75350036621094,157.62158966064453,0.0302082461616602,51.85719143747311,2.3628658781216245,2.455812764553927
AES,0.05106,0.02269,9.348684,302.896,0.723,0.376,0.019,0.253,0.268,0.0317043346886389,-0.2888948739899237,0.1622208350353586,14.148222875595092,13.553555742899578,0.0043664255995318,51.4574580669017,0.0754049212613043,0.1069413703771982
AOS,0.28209,0.13878,17.835579,12.063,1.544,0.894,0.044,0.146,0.099,0.0153822319841565,-0.2054521625948507,-0.0466347978143806,67.39033927917481,70.33400459289551,-0.0181085467632689,30.608175009182705,-1.252365331457824,-1.2566675074621796
ABT,0.3062,0.067930005,15.815327,25.31,1.703,1.088,0.069,0.0,-0.001,0.0134993003861829,-0.1327081443007626,-0.0157504700649089,126.71899909973143,130.4358117421468,-0.0065420317077359,43.46792603049704,-1.570508369350847,-1.7029942140375642
ADBE,0.52875,0.18094,20.489098,56.542,1.019,0.87,0.107,0.112,0.052,0.0213046551167582,-0.4087275766507415,-0.1724961973975892,340.9179992675781,349.257666015625,-0.0353985216092701,21.640337719782323,-5.06366141481368,-3.2332149202306377
ACN,0.25509,0.111829996,20.144152,25.38,1.42,1.301,0.073,-0.155,-0.161,0.0179190310375272,-0.4102144426810571,-0.2379838416807649,245.8819999694824,247.0728337605794,-0.0054172201213994,42.918269115709215,-0.1626615441797128,0.2488819620423482
ABNB,0.30776,0.07475,28.68735,26.458,1.392,0.845,0.097,0.038,0.004,0.0238894035305292,-0.3452483977184228,-0.1293010192605594,125.2129997253418,124.38366673787436,-0.0400358012993521,19.53359594997977,-0.6268944390486553,0.188872494797866
AKAM,0.10642,0.03785,25.548388,110.548,2.281,1.983,0.05,1.553,1.421,0.0263694833372036,-0.3319294798837672,0.1036230054749167,75.24749984741212,76.25783284505208,0.1577793670652863,71.32326383091099,1.085145260579651,-0.1094959431571076
ALGN,0.095769994,0.06323,26.78876,3.064,1.289,1.091,0.018,-0.497,-0.511,0.0336365524409485,-0.4807916388029257,-0.2740783685708368,134.58349838256837,134.34149958292645,0.027094683886171,53.846149354172056,1.0043853348929304,0.7430986803847075
GOOGL,0.3545,0.16275999,28.666008,11.424,1.747,1.563,0.159,0.353,0.33,0.0207020574643666,-0.2980586984940988,0.8222966869021666,267.30850143432616,244.8931427001953,0.0852629248486098,79.13848640090234,11.013704227802007,9.76550021851409
LNT,0.11461,0.027209999,20.666666,163.145,0.825,0.554,0.119,-0.052,-0.047,0.0112010665111675,-0.1097819801190617,0.1246091726078153,67.46356773376465,65.90818169911702,-0.0074643050494935,41.61549209378408,0.140673231778706,0.3147848408596528
ALL,0.34469002,0.05093,6.609076,29.43,0.426,0.288,0.038,2.222,2.148,0.0166547017847254,-0.1410695221428943,0.0164154533751315,195.6779998779297,202.40052134195963,0.041966902343859,73.03678737958492,-1.139384602095021,-2.610005296830654
ALLE,0.36411,0.10391,22.551352,116.084,1.771,1.014,0.107,0.095,0.082,0.0158644365026989,-0.162946644657505,0.1725307419966599,170.56700134277344,172.67083384195965,-0.0216161181877818,27.23329978058267,-2.3971495031631207,-2.062559813563505
GOOG,0.3545,0.16275999,28.68608,11.424,1.747,1.563,0.159,0.353,0.33,0.0204035414141984,-0.2935006055551589,0.8099280138498068,267.9254997253418,245.5048675537109,0.0845925327592291,79.82072470623152,10.990771226843322,9.746711690610388
AMZN,0.24327,0.07495,35.03526,43.405,1.009,0.76,0.134,0.364,0.382,0.0220479915279021,-0.30876638431876,0.17519042264616,230.2099998474121,227.81966654459637,0.0790147867648188,68.03940103874176,6.810453335166869,4.550058547018913
AMCR,0.07467,0.03543,28.1,134.68,1.042,0.52,0.713,-0.144,0.372,0.0159986866805431,-0.245284028703611,-0.0676984444231161,8.121500086784362,8.220333345731099,0.0379856202788723,59.35484208376095,0.0102616197207296,-0.0367837723545547
AXP,0.33935001,0.03708,24.706514,185.273,1.602,1.579,0.122,0.186,0.158,0.0196942155087918,-0.2875742635641056,0.2231005615245447,354.65150146484376,335.93800252278646,0.037300006804793,71.2987939806852,8.935171901218325,8.339563982774475
AEE,0.11387,0.02931,20.065384,155.736,0.93,0.461,0.248,0.382,0.404,0.0109423576437585,-0.0845090422057844,0.1224528538353788,103.79199981689452,101.93425229390462,0.0052797568402463,47.34917325113499,0.0397159257852166,0.1196270652420711
AEP,0.12923001,0.03209,17.970675,152.132,0.686,0.419,0.109,0.006,0.013,0.0122578945191347,-0.0958053356010699,0.2411658728416021,118.79549980163574,113.73283309936524,0.0316888919466137,65.53602843624233,1.925338637005652,1.8282134646207664
AIG,0.07688,0.017819999,13.834532,22.48,0.617,0.214,-0.041,0.323,0.131,0.0149833644497487,-0.1221630252761556,-0.0700629986726198,78.51800003051758,79.38869463602701,-0.0203520448935425,42.884996196457614,-0.6626446860557564,-0.417826207262461
AWK,0.10457,0.035520002,22.660809,140.983,0.421,0.31,0.097,0.081,0.083,0.015294305646935,-0.1612799599474063,-0.0310989928268726,136.04449920654298,138.7173329671224,-0.0522218598074345,25.733405086005902,-3.068109785120328,-2.378599824011431
AMP,0.59589,0.022219999,12.632012,54.222,2.433,1.554,0.073,0.866,0.785,0.0176177379965719,-0.2638996684062179,-0.1133753334487195,469.20899658203126,488.42833353678384,-0.0211185396299836,34.75221296416575,-8.3268361598046,-7.84507417186056
AMGN,0.8171,0.07706,25.012365,567.491,1.28,0.823,0.124,0.136,0.136,0.0180166713408499,-0.198802548495364,0.2171164425103442,300.4325012207031,290.61185760498046,0.0773135474591776,70.13589378226325,6.955491463697513,4.111590810959097
AME,0.14632,0.07488,31.23186,26.09,1.155,0.66,0.108,0.088,0.092,0.0141986305283964,-0.2304122961637054,0.1006976658576483,191.067000579834,187.5646489461263,0.0363380065941892,62.746117601249225,3.3922014879211417,2.599480469333632
APH,0.34807998,0.14032,47.95,63.99,2.07,1.409,0.534,1.021,1.061,0.022322471586099,-0.2457916429531421,0.682260614979052,134.04949951171875,123.07771530151368,0.0731111017012048,77.81601102097045,4.712744280542523,4.484736325183444
ADI,0.05652,0.03387,59.033077,25.541,2.324,1.686,0.246,0.316,0.322,0.0245475536467664,-0.3219746046802751,0.032195204476707,237.4529983520508,242.22285893758135,-0.0229645377817722,36.43572325275779,-2.676400765885802,-2.019558894846938
APO,0.16549,0.0144299995,24.425373,39.538,7.407,6.763,0.264,1.155,1.141,0.0265140635660391,-0.3897880697789065,-0.0910055671316749,126.36349868774414,131.62533315022787,0.0360586682746154,57.786878641371,0.2276830066915636,-1.0171345901183904
AON,0.3769,0.05587,27.5896,214.88,1.058,0.222,0.074,0.344,0.335,0.0137373033826379,-0.2000344104647338,-0.0266882768678116,341.7229995727539,356.5018330891927,0.0092092002831772,51.464608653439065,-3.4306787629359974,-5.007718391818028
AMAT,0.35634997,0.15884,28.086021,34.67,2.501,1.622,0.077,0.083,0.043,0.0287539262181647,-0.3491770241137826,0.3663764256255262,229.9115020751953,199.4099848429362,0.0224803879284341,56.44703356088619,7.080755719395597,8.244877549555081
AAPL,1.7142199,0.22964,36.11662,152.411,0.893,0.771,0.079,0.912,0.864,0.0205459600029421,-0.3336051616882118,0.2667814592703039,263.4444984436035,249.02799911499025,0.0227201337190159,64.26736226881363,5.328442901604717,5.630312094282688
APP,2.41886,0.36786997,76.71614,238.274,3.25,3.048,0.682,0.959,0.923,0.0508376222505874,-0.5699723736744688,0.7598486803106048,609.998501586914,581.4248326619467,0.0677403397382233,73.21226802060424,8.645575201769248,7.149782863834648
ACGL,0.17811,0.03899,8.415183,11.501,0.564,0.277,0.082,0.391,0.366,0.0157011249361427,-0.1590231981613716,-0.0388567472122328,87.46500053405762,89.78350016276042,0.0265820655950765,60.78433997041148,-0.3461950039447998,-0.7735313986310028
ADM,0.05242,0.0175,24.347826,40.467,1.372,0.369,0.022,4.891,5.0,0.0177915653991808,-0.2260531864189576,0.1256769943757802,60.76849994659424,61.20487435658773,-0.0784699301576472,23.32087387934304,-1.197074688676885,-0.5241988313908289
AJG,0.090670004,0.0222,40.1696,58.895,1.055,0.167,0.2,-0.252,-0.128,0.015692470413588,-0.3004255102665721,-0.2422477094683597,268.7070022583008,290.3509643554688,-0.0656737805542687,28.53631900258962,-13.054690448754968,-11.523742206399776
AIZ,0.15413,0.020539999,13.770402,38.316,0.41,0.146,0.089,1.027,0.985,0.0170830963358506,-0.2082970803496168,0.1254528706886428,213.5834999084473,213.9496925354004,0.0586491967182567,75.76781913565084,1.9567192208791084,0.3938164280913804
ATO,0.09057,0.03611,24.552486,67.241,1.373,1.089,0.196,0.075,0.126,0.0109575963039596,-0.0991877021562963,0.1693223394599148,175.50699996948242,170.0205396016439,0.0128370636940137,51.91693316693316,1.058417796257345,1.1498025448837654
ADP,0.70572996,0.06624,25.055225,154.917,1.054,0.266,0.071,0.064,0.059,0.012545817722742,-0.2199189631310742,-0.1672162180925227,271.2380012512207,286.92547073364256,-0.0633318473568777,11.581906071069753,-9.23613796420682,-7.603256606713555
ADSK,0.402,0.09272,62.10395,100.7,0.764,0.606,0.171,0.123,0.11,0.0184703267078307,-0.2565754520951327,0.0057573529472205,304.2279968261719,309.5678334554037,-0.0181048281648315,36.42614590929207,-3.746930562223781,-3.0247054578917014
AVB,0.09754,0.02813,21.581198,73.165,0.707,0.09,0.044,0.024,0.024,0.0141280698178553,-0.2436135298297633,-0.121138146058213,181.94049987792968,187.6428337097168,-0.0285285567612058,31.124894182891964,-3.396114735927739,-2.990147906311221
AVY,0.30211002,0.08288,19.703745,171.013,1.264,0.793,0.015,-0.053,-0.085,0.0154224242337433,-0.2273362335116939,-0.036527193789542,171.93149948120117,168.06475423177082,0.0096462652957365,62.51865573867611,2.396343799353758,2.7579476853238694
BKR,0.1689,0.057729997,16.827585,33.042,1.409,0.744,0.015,-0.208,-0.205,0.0224212470959961,-0.2800280912543043,0.29101571980842,46.88454113006592,46.571333503723146,0.0408547905306529,59.42521460413133,0.3251120694666909,0.2223139233948906
BALL,0.117469996,0.04535,18.058367,138.426,1.105,0.675,0.096,0.811,0.629,0.0165360833356637,-0.2820112773782605,-0.1141968018741649,48.37300033569336,49.67471625010173,-0.0405804989282998,33.77628362787782,-0.435451539533112,-0.4077930332427856
BDX,0.06544,0.03522,33.145985,75.545,1.113,0.438,0.083,0.252,0.233,0.0188397890475165,-0.3339422761318223,0.0478434060239056,183.5230010986328,187.82093200683596,-0.0102603036007044,34.468240951985734,-2.6524382898359136,-2.24844585689429
BIIB,0.09307,0.057490002,14.257298,36.194,2.716,1.766,0.028,0.192,0.201,0.0202120280066249,-0.3262419890903467,0.2687560073117301,149.43899993896486,144.8885004679362,0.0456440057191025,67.99281360492876,2.637926894370935,2.063876132909717
BBY,0.26722,0.06979,21.528925,150.074,1.038,0.297,0.016,-0.351,-0.361,0.0274132761939822,-0.3819799220007897,0.0879480747461611,80.91400032043457,76.55024477640788,-0.0341597101071472,34.19760617665662,0.7270653538228515,1.445044416060408
TECH,0.038,0.060900003,117.265305,20.067,4.217,2.275,-0.01,0.143,0.136,0.0274208047716816,-0.4058141015892235,0.116832112769333,61.65799980163574,57.27533327738444,-0.0680852562630764,29.338838198474647,0.037710739254976,1.0039839777559227
XYZ,0.14692001,0.0226,13.440645,36.049,2.183,1.257,0.023,0.644,0.627,0.0345016918139605,-0.5296198984978916,0.1483583488819795,75.03550033569336,75.88783340454101,-0.1097546794129662,30.70951152797008,-1.9543000192292368,-0.7271001209477801
BLK,0.120740004,0.033269998,27.866926,24.32,2.256,1.661,0.252,-0.226,-0.189,0.0171456243824977,-0.2374031775078924,0.1400382801935347,1119.1190002441406,1129.224277750651,-0.032605107547426,30.965211496559988,-19.84000226474859,-15.256520345191792
BX,0.26457,0.121190004,41.585014,65.942,0.934,0.876,-0.196,-0.214,-0.2,0.0242475136461699,-0.3916396636292397,-0.0143606371480713,151.54349899291992,164.52943674723306,-0.0477981304991547,17.601574413638545,-5.706040117949328,-5.616030203177753
BSX,0.12488,0.05756,53.96257,50.973,1.508,0.77,0.203,0.6,0.61,0.0147639118129762,-0.1552081682950448,-0.0198153797630359,100.00249977111817,100.89516677856446,0.0090748120603811,53.36443035471851,0.1525141587077172,0.1417873291791105
AVGO,0.27083,0.08895001,91.65985,166.032,1.497,1.279,0.164,1.881,1.727,0.0365812250884227,-0.411496794735489,0.5482706199121192,356.6769989013672,337.7831425984701,0.0048027087598771,57.30744071931027,4.660230072793752,6.466364524284198
BMY,0.33777002,0.0939,15.912457,274.414,1.266,1.106,0.028,0.809,0.818,0.017581629023225,-0.2991708536090967,0.0418847960596349,44.688500022888185,45.31915683746338,0.0575427301728178,67.98939756555752,0.5740109169245073,0.1848873197339165
BR,0.38215,0.09519,28.500639,132.063,0.927,0.798,0.117,1.059,1.073,0.013780266376184,-0.1819058677405132,-0.0524892589637345,226.5100006103516,239.5403216044108,-0.0147896204989418,34.36857163985873,-4.511386895612503,-4.500124880431258
BRO,0.10695,0.03938,23.79091,64.746,1.182,0.472,0.342,-0.161,-0.03,0.015754035828364,-0.3827463803406593,-0.277205339393016,84.08607063293456,90.82574221293132,-0.0663138193369221,23.804428550519347,-3.952246008187558,-3.494636056353162
BLDR,0.13555999,0.057589997,20.314991,117.723,1.786,1.083,-0.069,-0.549,-0.57,0.028475893010471,-0.4411998204753371,-0.1352879438679657,118.21849937438964,127.89899940490724,-0.094388795957033,23.505954470678372,-4.8268805814140165,-3.874855363338943
CHRW,0.34318,0.095790006,30.650507,80.904,1.585,1.516,-0.109,0.675,0.676,0.0235719666289134,-0.2326578788408605,0.5938466061285961,137.33450088500976,132.31604665120443,0.1047478983284641,75.24773337032433,6.0947123109241375,4.403403156159351
BG,0.09758,0.02592,10.70608,102.816,1.66,0.51,0.716,-0.46,-0.249,0.0204058287222678,-0.2435659370040036,0.1667306786973079,94.84800033569336,86.41450017293295,0.0023405802794486,51.72762431110574,2.384349221767621,2.9084074513655067
CDNS,0.21736,0.11089,84.99742,47.685,3.048,2.685,0.101,0.207,0.206,0.0247462710021841,-0.286251330219012,0.0322600849217251,332.99000091552733,344.71366729736326,-0.0121625227874289,46.28683417085427,-3.9858571369092033,-3.264816048091335
CCL,0.25733998,0.05284,13.860824,233.568,0.338,0.241,0.033,0.06,0.067,0.0292841667630485,-0.4233064079617246,0.1824977862929069,28.30049991607666,29.717333380381262,-0.0498401275811725,30.10334927144912,-0.7105313865029466,-0.537077178400046
CARR,0.0998,0.03812,35.83125,83.159,1.141,0.655,-0.068,0.005,-0.043,0.0212634420718835,-0.3038523425536928,-0.2267927721224844,57.71059818267823,60.46749464670817,-0.0065949126089248,41.85307098031033,-0.5422522257124811,-0.5864945711661876
CDW,0.43007,0.07037,18.117573,239.737,1.39,1.244,0.04,-0.056,-0.08,0.0203821798942875,-0.3059882744907144,-0.2430233884263216,152.33150100708008,159.07513427734375,-0.059222835650172,33.425263642812496,-3.69170808832672,-2.4254216016313945
CBOE,0.21621001,0.09729,27.894512,32.645,1.718,0.919,0.081,0.377,0.377,0.014032242592149,-0.1214033055238636,0.1791471134432838,242.40899963378905,240.61316655476887,0.0690197766581449,83.3893005678976,4.087156580624651,1.8563169180732253
CAT,0.46283,0.08206,29.304415,201.046,1.384,0.784,0.095,-0.036,-0.067,0.0197090636737113,-0.3279690061545037,0.6298498208530827,546.2459594726563,482.1571838378906,0.0450420102640829,64.2539490523103,21.938432376736387,22.53261934275259
CNP,0.09606,0.02901,24.98734,202.111,0.513,0.336,0.071,0.506,0.518,0.010727079742534,-0.0838612485503357,0.0896674925069498,39.36750011444092,38.63093433380127,0.0028576726352544,42.1203585595098,0.0295559917485732,0.0675595176771642
CBRE,0.14091,0.044299997,42.648876,104.121,1.127,0.883,0.135,0.658,0.613,0.018568011390953,-0.2255828270232285,0.1558313118574241,156.03000183105468,158.6583335876465,-0.0269179000878795,30.35166843239641,-1.8172496524331905,-1.233372032590499
CF,0.21967,0.095649995,10.018137,44.133,2.273,1.863,0.211,0.416,0.279,0.0209462527092748,-0.2915900918626105,-0.0444977991266898,84.41650047302247,86.20433298746745,-0.0185568223051604,48.53332668728975,-1.161872089953178,-0.947170189752686
SCHW,0.17046,0.01768,22.384075,99.789,0.59,0.59,0.266,0.775,0.675,0.0158063574703904,-0.1715764482221297,0.1116865023728308,94.32799911499023,94.40299962361654,0.0132728641316583,53.12106380331846,0.1585294127012986,0.0433395869771724
CMG,0.44958,0.13583,26.973452,154.574,1.542,1.415,0.075,0.022,-0.014,0.023847832603459,-0.5392987023110982,-0.3982231268707267,37.41149969100952,39.65133339564006,-0.1852772598271148,5.135940389295101,-2.803124934766572,-1.9126235957987212
CHTR,0.31327,0.05546,5.8361063,497.907,0.375,0.313,-0.009,-0.054,-0.112,0.0251243746276883,-0.507431253485682,-0.4881181269943352,239.6734992980957,258.1661669413249,-0.1219304697241748,20.0824855745734,-12.778942559381534,-10.402499901665209
CVX,0.07316,0.04047,21.860954,21.239,1.152,0.72,-0.014,-0.266,-0.211,0.0155152225861131,-0.2063972823393854,0.1190703907731538,154.23500061035156,155.64633407592774,0.0091742683601859,54.65000507355124,-0.0702100379866976,-0.1757183027583954
CI,0.15538,0.0395,11.423009,81.021,0.828,0.687,0.095,1.654,1.528,0.0218453402974969,-0.2741216559954765,-0.1363951399003433,284.31499938964845,293.49927978515626,-0.0919930210635638,29.742149137260256,-10.99657647816656,-7.623014078831063
CB,0.1364,0.029679999,12.050585,30.958,0.38,0.176,0.091,0.226,0.205,0.0127587341165779,-0.1176192781027558,0.0136325739458185,278.7254989624024,278.4078328450521,0.0341716171396375,73.07409352093289,1.8916585067232177,0.7540794741743135
CSCO,0.22059,0.06342,28.270588,63.282,0.998,0.802,0.076,0.186,0.179,0.0143404705109108,-0.1745781688182683,0.1809878673831182,71.2379997253418,68.78135375976562,0.0119598615322398,55.869731500186326,0.8815077354169745,1.0070003797846774
CTAS,0.42187,0.15977,41.166668,56.254,2.239,1.034,0.087,0.091,0.087,0.0159226848146433,-0.1987577769067755,-0.1363675682566276,187.52799911499025,198.54683252970375,-0.0121475146417649,24.547126300156805,-3.4967643691246053,-3.808669272229301
CINF,0.14529,0.04305,12.39017,5.732,1.118,0.929,0.122,0.367,0.368,0.015669250034237,-0.200259475755414,0.1331416706861929,156.61199951171875,155.9195821126302,0.0624983680387352,69.90943876554502,1.5092441852481215,0.2996958253545611
CMS,0.11233,0.03254,21.34294,191.634,0.899,0.425,0.16,0.092,0.095,0.0106755798842144,-0.0850653398999384,0.0856106811152435,73.4011360168457,72.06544329325358,0.0089761763577724,50.42120909788995,0.0851531326213006,0.1604092484372241
CLX,4.43646,0.114630006,16.43485,2230.435,0.759,0.389,-0.189,-0.187,-0.192,0.013994004005795,-0.3600819427719417,-0.2161446039710064,113.52900733947754,118.23978157043456,-0.0778567971764314,18.64331783462238,-3.4037381945694705,-2.566960869971594
CME,0.13346,0.01601,26.894276,13.372,1.021,0.021,-0.03,-0.004,-0.005,0.0116900082018443,-0.1013076237753016,0.0430126992574402,268.0399993896484,266.5060607910156,0.0344724645974063,63.52578000843639,1.6173764233337806,0.503203139306689
CTSH,0.14501001,0.101560004,16.870369,7.854,2.358,1.965,0.074,-0.521,-0.529,0.0164392970906185,-0.2696923771377447,-0.0958053627748308,69.85149993896485,69.5471669514974,0.0433562245205811,68.6988364989448,1.4220833633203682,0.9721389025593836
KO,0.42442,0.08959,23.350992,144.771,1.211,0.877,0.051,0.301,0.298,0.0110432663310634,-0.0981850649354054,0.0377910465792417,69.12300071716308,67.89359690348307,0.0202102905170384,45.79325699687215,0.5644004674568066,0.5035505515767609
COIN,0.26005,0.00736,27.502594,48.559,2.404,1.105,0.589,4.306,4.73,0.0475659792138807,-0.5591932851024981,0.2375632550769479,332.04749755859376,329.8965001424154,-0.04251652244517,44.89916450937421,-8.057305664334592,-4.050996708205973
CL,2.93635,0.15337,21.980392,680.048,0.93,0.505,0.019,0.011,-0.003,0.0130905352812375,-0.2168200521526058,-0.0957010097159286,77.62704429626464,80.11138979593913,0.0108590624837051,49.41542636917367,-0.4503798050078842,-0.7249268090149725
CMCSA,0.24186,0.051069997,4.5049834,101.462,0.882,0.689,-0.027,-0.042,-0.082,0.0173927852744019,-0.3642302840594117,-0.2049698654720957,28.62800006866455,30.965025901794437,-0.0526756750668646,26.904395803463387,-0.9349946205940682,-0.8701287931595973
CAG,0.096540004,0.046669997,9.59322,92.867,1.058,0.401,-0.058,-0.649,-0.648,0.0158528020919457,-0.3669823196128315,-0.2269957603946568,17.63868913650513,18.212431812286376,-0.0373434550136479,33.57158709902427,-0.3476895799969099,-0.2838618241053383
COP,0.15421,0.080979995,12.461865,36.169,1.323,0.999,0.14,-0.216,-0.162,0.0208466880132943,-0.2674861500605806,-0.0473084994178559,87.68750114440918,92.22000033060708,0.006186767845408,55.64515938190556,-1.1341592794990163,-1.298485962736546
CEG,0.19839,0.0388,41.296337,61.51,1.563,1.144,0.003,-0.223,-0.225,0.0391910341168989,-0.5070227772329307,0.2412830930959644,376.0895004272461,345.38558298746744,-0.0403082450699721,50.79529692499101,1.253837473741271,5.844244314789679
CPRT,0.18481001,0.118310004,26.044025,1.127,8.422,7.335,0.052,0.242,0.229,0.0166351962737066,-0.37374687583525,-0.3362718343882092,43.42049961090088,45.6111665725708,-0.0463030085214409,23.70011946880203,-1.1009823107436532,-0.8499837530993498
COO,0.050100002,0.03794,34.666668,29.67,2.116,0.908,0.057,-0.058,-0.061,0.0224340288797422,-0.3873118914262633,-0.1350293618771221,71.38849983215331,69.80066693623861,-0.0093642339175349,26.637570588529258,-0.107525178838074,0.194776189040792
ED,0.08839,0.03264,17.174826,110.373,1.075,0.694,0.107,0.124,0.17,0.0125037097083935,-0.1422666786905648,-0.006798638297741,99.4150001525879,98.99350026448568,-0.011819164985313,38.37535642559821,-0.635971037542717,-0.4383514560652836
CPAY,0.29097,0.06309,19.10809,197.201,1.134,0.72,0.139,0.003,0.006,0.0228389189294027,-0.3453985162604525,-0.2078237394448074,277.0529983520508,296.2098327636719,0.0145350826165676,45.54121008312748,-5.595535706754333,-7.029559239754178
COST,0.30686,0.08833,50.360836,34.066,1.034,0.498,0.081,0.11,0.109,0.0136196160289763,-0.1729471950500481,-0.0809830875673638,930.1262756347656,940.190591430664,-0.0156605382062033,40.54621554734912,-3.5472315289820244,-3.235625064729069
CTRA,0.118549995,0.06279,12.217592,27.957,1.025,0.887,0.349,0.235,0.278,0.0193424212761942,-0.2362024375366631,0.0851591198766259,24.09449977874756,23.926333236694337,0.0952706896586255,82.59021024557403,0.6828131991216182,0.3199676196673997
CSX,0.22589001,0.07007,22.805195,155.283,0.847,0.67,-0.009,-0.196,-0.224,0.0150848133629994,-0.2671834017952468,0.159359648931705,35.80949993133545,34.5791431427002,-0.0192546950047557,42.39401140413128,0.0557940868252373,0.2127200763078537
